=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 53.4 BPM
Valid interval: 526-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 122 mmHg
Confidence: 0.178
95% CI: [120 - 124] mmHg
Agreement: 3135/1020 detectors

MAP: 116 mmHg
Est. Diastolic: 112 mmHg
Oscillometric MAP Systolic: 132 mmHg
Oscillometric MAP Diastolic: 99 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W120_T1.8_D4                    134         0.580        | 16    134         0.5         
BL_W120_T1.8_D2                    134         0.580        | 36    134         0.5         
BL_W120_T2.0_D10                   134         0.580        | 37    134         0.5         
BL_W120_T2.0_D8                    134         0.580        | 30    134         0.5         
BL_W120_T2.0_D6                    134         0.580        | 32    134         0.5         
BL_W120_T2.0_D4                    134         0.580        | 35    134         0.5         
BL_W120_T2.0_D2                    134         0.580        | 38    134         0.5         
BL_W120_T1.8_D10                   134         0.580        | 34    134         0.5         
BL_W120_T1.8_D8                    134         0.580        | 33    134         0.5         
BL_W120_T1.8_D6                    134         0.580        | 31    134         0.5         
BL_W140_T2.2_D2                    129         0.500        | 413   129         3.7         
BL_W140_T1.8_D25                   129         0.500        | 426   129         3.7         
BL_W140_T1.8_D30                   129         0.500        | 436   129         3.7         
BL_W140_T1.8_D40                   129         0.500        | 437   129         3.7         
BL_W140_T2.0_D2                    129         0.500        | 438   129         3.7         
BL_W140_T2.0_D4                    129         0.500        | 439   129         3.7         
BL_W140_T2.0_D6                    129         0.500        | 440   129         3.7         
BL_W140_T2.0_D8                    129         0.500        | 441   129         3.7         
BL_W140_T2.0_D10                   129         0.500        | 442   129         3.7         
BL_W140_T2.0_D15                   129         0.500        | 418   129         3.7         
BL_W140_T2.0_D20                   129         0.500        | 393   129         3.7         
BL_W140_T2.0_D25                   129         0.500        | 410   129         3.7         
BL_W140_T2.0_D30                   129         0.500        | 411   129         3.7         
BL_W140_T2.0_D40                   129         0.500        | 412   129         3.7         
BL_W140_T1.8_D10                   129         0.500        | 432   129         3.7         
BL_W140_T2.2_D4                    129         0.500        | 414   129         3.7         
BL_W140_T2.2_D6                    129         0.500        | 415   129         3.7         
BL_W140_T2.2_D8                    129         0.500        | 416   129         3.7         
BL_W140_T2.2_D10                   129         0.500        | 417   129         3.7         
BL_W140_T2.2_D15                   129         0.500        | 409   129         3.7         
BL_W140_T2.2_D20                   129         0.500        | 419   129         3.7         
BL_W140_T2.2_D25                   129         0.500        | 420   129         3.7         
BL_W140_T2.2_D30                   129         0.500        | 421   129         3.7         
BL_W140_T2.2_D40                   129         0.500        | 422   129         3.7         
BL_W130_T2.0_D40                   130         0.500        | 294   130         3.1         
BL_W130_T1.8_D15                   130         0.500        | 253   130         2.7         
BL_W130_T2.0_D15                   130         0.500        | 229   130         2.7         
BL_W130_T2.0_D10                   130         0.500        | 69    130         2.5         
BL_W130_T2.0_D25                   130         0.500        | 233   130         2.7         
BL_W130_T2.0_D30                   130         0.500        | 225   130         2.7         
BL_W130_T2.0_D8                    130         0.500        | 70    130         2.5         
BL_W130_T2.0_D6                    130         0.500        | 71    130         2.5         
BL_W130_T2.0_D4                    130         0.500        | 74    130         2.5         
BL_W130_T2.0_D2                    130         0.500        | 75    130         2.5         
BL_W130_T1.8_D40                   130         0.500        | 313   130         3.1         
BL_W130_T1.8_D30                   130         0.500        | 256   130         2.7         
BL_W130_T1.8_D25                   130         0.500        | 255   130         2.7         
BL_W130_T1.8_D20                   130         0.500        | 254   130         2.7         
BL_W140_T1.8_D20                   129         0.500        | 434   129         3.7         
BL_W130_T1.8_D10                   130         0.500        | 76    130         2.5         
BL_W130_T1.8_D8                    130         0.500        | 77    130         2.5         
BL_W130_T1.8_D6                    130         0.500        | 78    130         2.5         
BL_W130_T1.8_D4                    130         0.500        | 79    130         2.5         
BL_W130_T1.8_D2                    130         0.500        | 80    130         2.5         
BL_W140_T1.8_D2                    129         0.500        | 428   129         3.7         
BL_W140_T1.8_D4                    129         0.500        | 429   129         3.7         
BL_W140_T1.8_D6                    129         0.500        | 430   129         3.7         
BL_W140_T1.8_D8                    129         0.500        | 431   129         3.7         
BL_W130_T2.0_D20                   130         0.500        | 232   130         2.7         
BL_W140_T1.8_D15                   129         0.500        | 433   129         3.7         
BL_W120_T1.8_D15                   130         0.500        | 114   130         2.7         
BL_W120_T1.8_D20                   130         0.500        | 160   130         2.7         
BL_W120_T1.8_D25                   130         0.500        | 159   130         2.7         
BL_W120_T1.8_D30                   130         0.500        | 268   130         3.1         
BL_W120_T1.8_D40                   130         0.500        | 269   130         3.1         
BL_W120_T2.0_D15                   130         0.500        | 150   130         2.7         
BL_W120_T2.0_D20                   130         0.500        | 145   130         2.7         
BL_W120_T2.0_D25                   130         0.500        | 144   130         2.7         
BL_W120_T2.0_D30                   130         0.500        | 260   130         3.1         
BL_W120_T2.0_D40                   130         0.500        | 258   130         3.1         
BL_W170_T2.0_D20                   101         0.420        | 929   101         31.6        
BL_W170_T2.2_D6                    101         0.420        | 935   101         31.6        
BL_W170_T2.0_D15                   101         0.420        | 928   101         31.6        
BL_W170_T2.0_D10                   101         0.420        | 927   101         31.6        
BL_W170_T2.0_D8                    101         0.420        | 926   101         31.6        
BL_W170_T2.0_D6                    101         0.420        | 925   101         31.6        
BL_W170_T2.0_D4                    101         0.420        | 924   101         31.6        
BL_W170_T2.0_D25                   101         0.420        | 930   101         31.6        
BL_W170_T2.0_D30                   101         0.420        | 931   101         31.6        
BL_W170_T2.0_D40                   101         0.420        | 932   101         31.6        
BL_W170_T2.2_D2                    101         0.420        | 923   101         31.6        
BL_W170_T2.2_D4                    101         0.420        | 934   101         31.6        
BL_W170_T1.8_D15                   102         0.420        | 909   102         31.1        
BL_W170_T2.2_D8                    101         0.420        | 936   101         31.6        
BL_W170_T2.0_D2                    101         0.420        | 933   101         31.6        
BL_W170_T1.8_D40                   102         0.420        | 903   102         31.1        
BL_W170_T1.8_D30                   102         0.420        | 912   102         31.1        
BL_W170_T1.8_D25                   102         0.420        | 911   102         31.1        
BL_W170_T1.8_D20                   102         0.420        | 910   102         31.1        
BL_W170_T2.2_D40                   101         0.420        | 942   101         31.6        
BL_W170_T1.8_D10                   102         0.420        | 908   102         31.1        
BL_W170_T1.8_D8                    102         0.420        | 907   102         31.1        
BL_W170_T1.8_D6                    102         0.420        | 906   102         31.1        
BL_W170_T1.8_D4                    102         0.420        | 905   102         31.1        
BL_W170_T1.8_D2                    102         0.420        | 904   102         31.1        
BL_W150_T1.8_D4                    127         0.420        | 561   127         5.7         
BL_W150_T1.8_D6                    127         0.420        | 560   127         5.7         
BL_W150_T1.8_D8                    127         0.420        | 559   127         5.7         
BL_W130_T2.2_D8                    101         0.420        | 946   101         31.6        
BL_W150_T1.8_D2                    127         0.420        | 566   127         5.7         
BL_W170_T2.4_D40                   101         0.420        | 974   101         31.6        
BL_W170_T2.4_D30                   101         0.420        | 982   101         31.6        
BL_W170_T2.4_D25                   101         0.420        | 981   101         31.6        
BL_W170_T2.4_D20                   101         0.420        | 980   101         31.6        
BL_W170_T2.4_D15                   101         0.420        | 979   101         31.6        
BL_W170_T2.4_D10                   101         0.420        | 978   101         31.6        
BL_W170_T2.4_D8                    101         0.420        | 977   101         31.6        
BL_W170_T2.4_D6                    101         0.420        | 976   101         31.6        
BL_W170_T2.4_D4                    101         0.420        | 963   101         31.6        
BL_W130_T2.2_D2                    101         0.420        | 944   101         31.6        
BL_W130_T2.2_D4                    101         0.420        | 921   101         31.6        
BL_W130_T2.2_D6                    101         0.420        | 945   101         31.6        
BL_W170_T2.2_D10                   101         0.420        | 937   101         31.6        
BL_W130_T2.2_D10                   101         0.420        | 947   101         31.6        
BL_W130_T2.2_D15                   101         0.420        | 948   101         31.6        
BL_W130_T2.2_D20                   101         0.420        | 949   101         31.6        
BL_W130_T2.2_D25                   101         0.420        | 950   101         31.6        
BL_W130_T2.2_D30                   101         0.420        | 951   101         31.6        
BL_W130_T2.2_D40                   101         0.420        | 952   101         31.6        
BL_W170_T2.4_D2                    101         0.420        | 953   101         31.6        
BL_W150_T1.8_D10                   127         0.420        | 558   127         5.7         
BL_W170_T2.2_D30                   101         0.420        | 941   101         31.6        
BL_W170_T2.2_D25                   101         0.420        | 940   101         31.6        
BL_W170_T2.2_D20                   101         0.420        | 939   101         31.6        
BL_W170_T2.2_D15                   101         0.420        | 938   101         31.6        
BL_W160_T1.8_D10                   125         0.420        | 774   125         7.6         
BL_W160_T2.0_D6                    125         0.420        | 782   125         7.6         
BL_W160_T2.0_D4                    125         0.420        | 781   125         7.6         
BL_W160_T2.0_D2                    125         0.420        | 780   125         7.6         
BL_W160_T1.8_D40                   125         0.420        | 779   125         7.6         
BL_W160_T1.8_D30                   125         0.420        | 778   125         7.6         
BL_W160_T1.8_D25                   125         0.420        | 768   125         7.6         
BL_W160_T1.8_D20                   125         0.420        | 776   125         7.6         
BL_W160_T1.8_D15                   125         0.420        | 775   125         7.6         
BL_W160_T2.0_D8                    125         0.420        | 783   125         7.6         
BL_W160_T1.8_D8                    125         0.420        | 773   125         7.6         
BL_W160_T1.8_D6                    125         0.420        | 772   125         7.6         
BL_W160_T1.8_D4                    125         0.420        | 771   125         7.6         
BL_W160_T1.8_D2                    125         0.420        | 770   125         7.6         
BL_W150_T2.4_D40                   101         0.420        | 962   101         31.6        
BL_W150_T2.4_D30                   101         0.420        | 961   101         31.6        
BL_W150_T2.4_D25                   101         0.420        | 960   101         31.6        
BL_W150_T2.4_D20                   101         0.420        | 959   101         31.6        
BL_W160_T2.0_D10                   125         0.420        | 784   125         7.6         
BL_W160_T2.0_D15                   125         0.420        | 759   125         7.6         
BL_W160_T2.0_D20                   125         0.420        | 751   125         7.6         
BL_W160_T2.0_D25                   125         0.420        | 752   125         7.6         
BL_W160_T2.0_D30                   125         0.420        | 753   125         7.6         
BL_W160_T2.0_D40                   125         0.420        | 754   125         7.6         
BL_W160_T2.2_D2                    125         0.420        | 755   125         7.6         
BL_W160_T2.2_D4                    125         0.420        | 756   125         7.6         
BL_W160_T2.2_D6                    125         0.420        | 757   125         7.6         
BL_W160_T2.2_D8                    125         0.420        | 758   125         7.6         
BL_W160_T2.2_D10                   125         0.420        | 750   125         7.6         
BL_W160_T2.2_D15                   125         0.420        | 760   125         7.6         
BL_W160_T2.2_D20                   125         0.420        | 761   125         7.6         
BL_W160_T2.2_D25                   125         0.420        | 762   125         7.6         
BL_W160_T2.2_D30                   125         0.420        | 763   125         7.6         
BL_W150_T2.2_D2                    127         0.420        | 599   127         5.7         
