=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 52.0 BPM
Valid interval: 538-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 136 mmHg
Confidence: 0.126
95% CI: [134 - 138] mmHg
Agreement: 3121/1020 detectors

MAP: 103 mmHg
Est. Diastolic: 86 mmHg
Oscillometric MAP Systolic: 124 mmHg
Oscillometric MAP Diastolic: 100 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W140_T2.2_D8                    142         1.200        | 706   142         2.2         
BL_W150_T1.8_D4                    142         1.200        | 705   142         2.2         
BL_W150_T1.8_D2                    142         1.200        | 666   142         2.2         
BL_W140_T2.2_D40                   138         1.200        | 567   138         1.9         
BL_W140_T2.2_D30                   139         1.200        | 142   139         1.5         
BL_W140_T2.2_D25                   142         1.200        | 276   142         1.8         
BL_W140_T2.2_D20                   147         1.200        | 822   147         6.9         
BL_W140_T2.2_D15                   147         1.200        | 870   147         7.2         
BL_W140_T2.2_D10                   143         1.200        | 785   143         2.5         
BL_W150_T1.8_D6                    142         1.200        | 704   142         2.2         
BL_W140_T2.2_D6                    142         1.200        | 707   142         2.2         
BL_W140_T2.2_D4                    142         1.200        | 708   142         2.2         
BL_W140_T2.2_D2                    142         1.200        | 709   142         2.2         
BL_W140_T2.0_D40                   138         1.200        | 574   138         1.9         
BL_W140_T2.0_D30                   139         1.200        | 151   139         1.5         
BL_W140_T2.0_D25                   142         1.200        | 277   142         1.8         
BL_W140_T2.0_D20                   147         1.200        | 825   147         6.9         
BL_W140_T2.0_D15                   147         1.200        | 869   147         7.2         
BL_W150_T2.0_D4                    142         1.200        | 689   142         2.2         
BL_W150_T2.0_D40                   138         1.200        | 404   138         1.9         
BL_W150_T2.0_D30                   139         1.200        | 31    139         1.5         
BL_W150_T2.0_D25                   142         1.200        | 232   142         1.6         
BL_W150_T2.0_D20                   142         1.200        | 685   142         2.2         
BL_W150_T2.0_D15                   142         1.200        | 693   142         2.2         
BL_W150_T2.0_D10                   142         1.200        | 692   142         2.2         
BL_W150_T2.0_D8                    142         1.200        | 691   142         2.2         
BL_W150_T2.0_D6                    142         1.200        | 690   142         2.2         
BL_W140_T2.0_D10                   143         1.200        | 784   143         2.5         
BL_W150_T2.0_D2                    142         1.200        | 688   142         2.2         
BL_W150_T1.8_D40                   138         1.200        | 378   138         1.9         
BL_W150_T1.8_D30                   139         1.200        | 44    139         1.5         
BL_W150_T1.8_D25                   142         1.200        | 224   142         1.6         
BL_W150_T1.8_D20                   142         1.200        | 687   142         2.2         
BL_W150_T1.8_D15                   142         1.200        | 686   142         2.2         
BL_W150_T1.8_D10                   142         1.200        | 694   142         2.2         
BL_W150_T1.8_D8                    142         1.200        | 703   142         2.2         
