=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 72.1 BPM
Valid interval: 460-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 100 mmHg
Confidence: 0.153
95% CI: [98 - 102] mmHg
Agreement: 4055/1020 detectors

MAP: 86 mmHg
Est. Diastolic: 79 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W150_T2.0_D10                   97          0.260        | 70    97          3.2         
BL_W150_T2.2_D40                   97          0.260        | 90    97          3.2         
BL_W150_T2.2_D30                   97          0.260        | 91    97          3.2         
BL_W150_T2.2_D25                   97          0.260        | 92    97          3.2         
BL_W150_T2.2_D20                   97          0.260        | 93    97          3.2         
BL_W150_T2.2_D15                   97          0.260        | 94    97          3.2         
BL_W150_T2.2_D10                   97          0.260        | 95    97          3.2         
BL_W150_T2.2_D8                    109         0.260        | 764   109         15.3        
BL_W150_T2.2_D6                    109         0.260        | 885   109         15.3        
BL_W150_T2.2_D4                    97          0.260        | 96    97          3.2         
BL_W150_T2.2_D2                    97          0.260        | 97    97          3.2         
BL_W150_T2.0_D40                   97          0.260        | 98    97          3.2         
BL_W150_T2.0_D30                   97          0.260        | 99    97          3.2         
BL_W150_T2.0_D25                   97          0.260        | 100   97          3.2         
BL_W150_T2.0_D20                   97          0.260        | 89    97          3.2         
BL_W150_T2.0_D15                   97          0.260        | 63    97          3.2         
BL_W150_T2.4_D6                    109         0.260        | 874   109         15.3        
BL_W150_T2.0_D8                    109         0.260        | 735   109         15.3        
BL_W150_T2.0_D6                    109         0.260        | 883   109         15.3        
BL_W150_T2.0_D4                    97          0.260        | 71    97          3.2         
BL_W150_T2.0_D2                    97          0.260        | 73    97          3.2         
BL_W150_T1.8_D40                   97          0.260        | 74    97          3.2         
BL_W150_T1.8_D30                   97          0.260        | 75    97          3.2         
BL_W150_T1.8_D25                   97          0.260        | 69    97          3.2         
BL_W150_T1.8_D20                   97          0.260        | 72    97          3.2         
BL_W150_T1.8_D15                   97          0.260        | 62    97          3.2         
BL_W150_T1.8_D10                   97          0.260        | 238   97          3.2         
BL_W150_T1.8_D8                    109         0.260        | 745   109         15.3        
BL_W150_T1.8_D6                    109         0.260        | 881   109         15.3        
BL_W150_T1.8_D4                    109         0.260        | 747   109         15.3        
BL_W150_T1.8_D2                    109         0.260        | 759   109         15.3        
BL_W140_T6.0_D8                    109         0.260        | 772   109         15.3        
BL_W150_T4.2_D6                    109         0.260        | 900   109         15.3        
BL_W160_T1.8_D30                   97          0.260        | 232   97          3.2         
BL_W160_T1.8_D25                   97          0.260        | 218   97          3.2         
BL_W160_T1.8_D20                   97          0.260        | 234   97          3.2         
BL_W160_T1.8_D15                   97          0.260        | 235   97          3.2         
BL_W160_T1.8_D10                   97          0.260        | 236   97          3.2         
BL_W160_T1.8_D8                    109         0.260        | 855   109         15.3        
BL_W160_T1.8_D6                    109         0.260        | 854   109         15.3        
BL_W160_T1.8_D4                    109         0.260        | 787   109         15.3        
BL_W160_T1.8_D2                    109         0.260        | 797   109         15.3        
BL_W150_T6.0_D8                    109         0.260        | 794   109         15.3        
BL_W150_T5.5_D8                    109         0.260        | 792   109         15.3        
BL_W150_T5.0_D8                    109         0.260        | 749   109         15.3        
BL_W150_T4.8_D8                    109         0.260        | 748   109         15.3        
BL_W150_T4.5_D8                    109         0.260        | 743   109         15.3        
BL_W150_T4.2_D8                    109         0.260        | 731   109         15.3        
BL_W140_T5.5_D8                    109         0.260        | 798   109         15.3        
BL_W150_T4.0_D8                    109         0.260        | 738   109         15.3        
BL_W150_T4.0_D6                    109         0.260        | 899   109         15.3        
BL_W150_T3.8_D8                    109         0.260        | 732   109         15.3        
BL_W150_T3.8_D6                    109         0.260        | 897   109         15.3        
BL_W150_T3.5_D8                    109         0.260        | 766   109         15.3        
BL_W150_T3.5_D6                    109         0.260        | 896   109         15.3        
BL_W150_T3.2_D8                    109         0.260        | 765   109         15.3        
BL_W150_T3.2_D6                    109         0.260        | 895   109         15.3        
BL_W150_T3.0_D8                    109         0.260        | 761   109         15.3        
BL_W150_T3.0_D6                    109         0.260        | 893   109         15.3        
BL_W150_T2.8_D8                    109         0.260        | 760   109         15.3        
BL_W150_T2.8_D6                    109         0.260        | 891   109         15.3        
BL_W150_T2.6_D8                    109         0.260        | 752   109         15.3        
BL_W150_T2.6_D6                    109         0.260        | 890   109         15.3        
BL_W150_T2.4_D8                    109         0.260        | 754   109         15.3        
BL_W140_T1.8_D10                   97          0.260        | 117   97          3.2         
BL_W140_T2.0_D40                   97          0.260        | 104   97          3.2         
BL_W140_T2.0_D30                   97          0.260        | 105   97          3.2         
BL_W140_T2.0_D25                   97          0.260        | 106   97          3.2         
BL_W140_T2.0_D20                   97          0.260        | 107   97          3.2         
BL_W140_T2.0_D15                   97          0.260        | 108   97          3.2         
BL_W140_T2.0_D10                   97          0.260        | 109   97          3.2         
BL_W140_T2.0_D8                    109         0.260        | 725   109         15.3        
