=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 62.1 BPM
Valid interval: 512-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 97 mmHg
Confidence: 0.052
95% CI: [93 - 100] mmHg
Agreement: 2776/550 detectors

MAP: 83 mmHg
Est. Diastolic: 76 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T2.0_D15                    108         1.200        | 216   108         8.0         
BL_W10_T1.8_D25                    108         1.140        | 195   108         7.6         
BL_W10_T1.8_D6                     108         1.140        | 191   108         7.6         
BL_W10_T1.8_D4                     108         1.140        | 192   108         7.6         
BL_W10_T1.8_D2                     108         1.140        | 190   108         7.6         
BL_W10_T1.6_D40                    104         1.140        | 71    104         3.6         
BL_W10_T1.6_D30                    104         1.140        | 104   104         4.1         
BL_W10_T1.6_D25                    108         1.140        | 196   108         7.6         
BL_W10_T1.4_D40                    104         1.140        | 66    104         3.6         
BL_W10_T1.4_D30                    104         1.140        | 105   104         4.1         
BL_W10_T1.4_D25                    108         1.140        | 189   108         7.6         
BL_W10_T1.8_D10                    108         1.140        | 193   108         7.6         
BL_W10_T1.8_D30                    104         1.140        | 103   104         4.1         
BL_W10_T1.8_D40                    104         1.140        | 74    104         3.6         
BL_W10_T1.2_D40                    104         1.140        | 59    104         3.6         
BL_W10_T1.2_D30                    104         1.140        | 109   104         4.1         
BL_W10_T2.0_D40                    104         1.140        | 32    104         3.6         
BL_W10_T2.0_D30                    104         1.140        | 100   104         4.1         
BL_W10_T2.0_D25                    108         1.140        | 198   108         7.6         
BL_W10_T1.8_D15                    108         1.140        | 213   108         8.0         
BL_W10_T2.0_D10                    105         1.140        | 168   105         4.9         
BL_W10_T1.0_D40                    104         1.140        | 54    104         3.6         
BL_W10_T1.2_D25                    108         1.060        | 199   108         7.6         
BL_W10_T1.8_D8                     108         1.060        | 194   108         7.6         
BL_W10_T1.6_D15                    108         1.060        | 203   108         8.0         
BL_W10_T1.6_D10                    108         1.060        | 207   108         8.0         
BL_W10_T1.0_D30                    104         1.060        | 113   104         4.1         
BL_W10_T2.0_D6                     102         1.060        | 9     102         1.6         
BL_W10_T2.0_D4                     102         1.060        | 7     102         1.6         
BL_W10_T2.0_D2                     102         1.060        | 10    102         1.6         
BL_W10_T2.0_D8                     102         1.060        | 8     102         1.6         
BL_W10_T1.4_D15                    108         0.980        | 210   108         8.0         
BL_W10_T1.8_D20                    108         0.980        | 214   108         8.0         
BL_W10_T1.6_D20                    108         0.980        | 200   108         8.0         
BL_W10_T2.0_D20                    108         0.980        | 217   108         8.0         
BL_W10_T1.6_D8                     108         0.980        | 205   108         8.0         
BL_W10_T1.6_D6                     108         0.980        | 201   108         8.0         
