=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 77.1 BPM
Valid interval: 437-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 104 mmHg
Confidence: 0.090
95% CI: [102 - 106] mmHg
Agreement: 2051/550 detectors

MAP: 100 mmHg
Est. Diastolic: 98 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W30_T1.0_D2                     127         1.200        | 542   127         22.5        
BL_W10_T1.8_D2                     127         1.200        | 541   127         22.5        
BL_W40_T1.4_D2                     127         1.200        | 518   127         22.5        
BL_W30_T1.4_D2                     127         1.200        | 510   127         22.5        
BL_W40_T1.6_D2                     127         1.200        | 520   127         22.5        
BL_W10_T1.6_D2                     127         1.200        | 529   127         22.5        
BL_W10_T2.0_D2                     127         1.200        | 531   127         22.5        
BL_W40_T1.2_D2                     127         1.200        | 516   127         22.5        
BL_W50_T1.0_D2                     127         1.200        | 540   127         22.5        
BL_W10_T1.4_D2                     127         1.200        | 514   127         22.5        
BL_W10_T1.0_D2                     127         1.200        | 509   127         22.5        
BL_W40_T1.0_D2                     127         1.200        | 521   127         22.5        
BL_W50_T1.2_D2                     127         1.200        | 537   127         22.5        
BL_W50_T1.6_D2                     127         1.200        | 533   127         22.5        
BL_W30_T1.6_D2                     127         1.200        | 512   127         22.5        
BL_W10_T1.2_D2                     127         1.200        | 511   127         22.5        
BL_W30_T1.2_D2                     127         1.200        | 513   127         22.5        
BL_W50_T1.4_D2                     127         1.200        | 535   127         22.5        
BL_W50_T1.8_D2                     126         1.200        | 508   126         22.2        
BL_W30_T1.4_D4                     114         1.140        | 453   114         9.8         
BL_W50_T1.6_D4                     114         1.140        | 446   114         9.8         
BL_W10_T1.8_D4                     114         1.140        | 478   114         10.2        
BL_W10_T1.8_D6                     114         1.140        | 444   114         9.8         
