=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 85.1 BPM
Valid interval: 404-1329 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 109 mmHg
Confidence: 0.059
95% CI: [106 - 113] mmHg
Agreement: 3326/550 detectors

MAP: 106 mmHg
Est. Diastolic: 104 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.4_D40                    106         1.200        | 70    106         2.1         
BL_W10_T2.0_D25                    100         1.200        | 316   100         8.5         
BL_W10_T2.0_D20                    100         1.200        | 317   100         8.5         
BL_W10_T2.0_D15                    100         1.200        | 313   100         8.5         
BL_W10_T1.8_D40                    106         1.200        | 89    106         2.1         
BL_W10_T1.8_D30                    106         1.200        | 90    106         2.1         
BL_W10_T1.4_D15                    113         1.200        | 240   113         4.7         
BL_W10_T1.4_D20                    113         1.200        | 294   113         5.2         
BL_W10_T1.4_D25                    113         1.200        | 195   113         4.5         
BL_W10_T1.4_D30                    106         1.200        | 71    106         2.1         
BL_W10_T1.2_D40                    106         1.200        | 80    106         2.1         
BL_W10_T1.8_D25                    113         1.200        | 199   113         4.5         
BL_W10_T1.8_D20                    113         1.200        | 296   113         5.2         
BL_W10_T1.8_D15                    113         1.200        | 237   113         4.7         
BL_W10_T1.6_D40                    106         1.200        | 85    106         2.1         
BL_W10_T1.6_D15                    113         1.200        | 233   113         4.7         
BL_W10_T1.6_D20                    113         1.200        | 295   113         5.2         
BL_W10_T1.6_D25                    113         1.200        | 201   113         4.5         
BL_W10_T1.6_D30                    106         1.200        | 92    106         2.1         
BL_W10_T1.0_D40                    106         1.200        | 83    106         2.1         
BL_W30_T1.0_D25                    98          1.200        | 330   98          9.7         
BL_W30_T1.0_D30                    98          1.200        | 323   98          9.7         
BL_W30_T1.0_D40                    98          1.200        | 324   98          9.7         
BL_W10_T1.0_D15                    113         1.200        | 234   113         4.7         
BL_W10_T1.0_D20                    113         1.200        | 292   113         5.2         
BL_W10_T1.0_D25                    113         1.200        | 214   113         4.5         
BL_W10_T1.0_D30                    106         1.200        | 84    106         2.1         
BL_W10_T2.0_D40                    100         1.200        | 314   100         8.5         
BL_W10_T2.0_D30                    100         1.200        | 315   100         8.5         
BL_W10_T1.2_D15                    113         1.200        | 232   113         4.7         
BL_W10_T1.2_D20                    113         1.200        | 293   113         5.2         
BL_W10_T1.2_D25                    113         1.200        | 190   113         4.5         
BL_W10_T1.2_D30                    106         1.200        | 81    106         2.1         
BL_W40_T1.0_D40                    97          1.140        | 350   97          11.5        
BL_W40_T1.0_D30                    97          1.140        | 341   97          11.5        
BL_W50_T1.0_D30                    97          1.140        | 346   97          11.5        
BL_W50_T1.0_D40                    97          1.140        | 347   97          11.5        
BL_W10_T1.8_D8                     117         1.140        | 318   117         8.9         
BL_W40_T1.0_D25                    97          1.140        | 352   97          11.5        
BL_W40_T1.2_D30                    97          1.140        | 333   97          11.5        
BL_W40_T1.2_D25                    97          1.140        | 335   97          11.5        
BL_W40_T1.2_D40                    97          1.140        | 334   97          11.5        
BL_W40_T1.0_D20                    97          1.060        | 351   97          11.5        
BL_W10_T2.2_D15                    94          1.060        | 395   94          13.7        
BL_W10_T2.2_D20                    94          1.060        | 396   94          13.7        
BL_W10_T2.2_D25                    94          1.060        | 398   94          13.7        
BL_W10_T1.2_D10                    107         1.060        | 19    107         1.2         
BL_W10_T2.2_D30                    94          1.060        | 399   94          13.7        
BL_W10_T2.2_D40                    94          1.060        | 401   94          13.7        
BL_W10_T1.0_D10                    107         1.060        | 22    107         1.2         
BL_W10_T1.4_D10                    107         1.060        | 23    107         1.2         
BL_W10_T1.8_D10                    107         1.060        | 21    107         1.2         
BL_W40_T1.2_D20                    97          1.060        | 336   97          11.5        
BL_W10_T1.6_D10                    107         1.060        | 20    107         1.2         
BL_W40_T1.2_D15                    97          0.980        | 337   97          11.5        
BL_W40_T1.0_D15                    97          0.980        | 348   97          11.5        
BL_W10_T2.0_D10                    100         0.980        | 312   100         8.5         
BL_W30_T1.0_D20                    98          0.980        | 328   98          9.7         
BL_W30_T1.0_D15                    98          0.980        | 327   98          9.7         
BL_W50_T1.0_D20                    97          0.980        | 342   97          11.5        
BL_W50_T1.0_D25                    97          0.980        | 345   97          11.5        
BL_W10_T1.8_D2                     151         0.960        | 509   151         43.1        
