=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 69.1 BPM
Valid interval: 450-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 101 mmHg
Confidence: 0.088
95% CI: [99 - 103] mmHg
Agreement: 2962/550 detectors

MAP: 100 mmHg
Est. Diastolic: 99 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.6_D30                    83          0.740        | 446   83          25.1        
BL_W10_T1.4_D15                    83          0.740        | 410   83          24.8        
BL_W10_T1.4_D20                    83          0.740        | 419   83          24.8        
BL_W10_T1.4_D25                    83          0.740        | 420   83          24.8        
BL_W10_T1.4_D30                    83          0.740        | 422   83          24.8        
BL_W10_T1.4_D40                    83          0.740        | 423   83          24.8        
BL_W10_T1.6_D6                     83          0.740        | 440   83          25.1        
BL_W10_T1.6_D8                     83          0.740        | 441   83          25.1        
BL_W10_T1.6_D10                    83          0.740        | 442   83          25.1        
BL_W10_T1.6_D15                    83          0.740        | 443   83          25.1        
BL_W10_T1.6_D20                    83          0.740        | 444   83          25.1        
BL_W10_T1.6_D25                    83          0.740        | 445   83          25.1        
BL_W10_T1.0_D4                     111         0.740        | 309   111         2.8         
BL_W10_T1.6_D40                    83          0.740        | 416   83          24.8        
BL_W10_T1.8_D2                     83          0.740        | 447   83          25.1        
BL_W10_T1.8_D6                     83          0.740        | 449   83          25.1        
BL_W10_T1.8_D8                     83          0.740        | 453   83          25.1        
BL_W10_T1.8_D10                    83          0.740        | 454   83          25.1        
BL_W10_T1.8_D15                    83          0.740        | 452   83          25.1        
BL_W10_T1.8_D20                    83          0.740        | 451   83          25.1        
BL_W10_T1.8_D25                    83          0.740        | 450   83          25.1        
BL_W10_T1.8_D30                    83          0.740        | 437   83          25.1        
BL_W10_T1.8_D40                    83          0.740        | 434   83          24.8        
BL_W10_T1.0_D2                     111         0.740        | 360   111         3.4         
BL_W10_T1.4_D8                     83          0.740        | 415   83          24.8        
BL_W10_T1.4_D10                    83          0.740        | 417   83          24.8        
BL_W10_T1.0_D6                     111         0.740        | 322   111         2.8         
BL_W10_T1.0_D8                     83          0.740        | 421   83          24.8        
BL_W10_T1.0_D10                    83          0.740        | 414   83          24.8        
BL_W10_T1.0_D15                    83          0.740        | 413   83          24.8        
BL_W10_T1.0_D20                    83          0.740        | 432   83          24.8        
BL_W10_T1.0_D25                    83          0.740        | 430   83          24.8        
BL_W10_T1.0_D30                    83          0.740        | 429   83          24.8        
BL_W10_T1.0_D40                    83          0.740        | 428   83          24.8        
BL_W10_T1.2_D2                     111         0.740        | 363   111         3.4         
BL_W10_T1.2_D4                     111         0.740        | 310   111         2.8         
BL_W10_T1.2_D6                     111         0.740        | 314   111         2.8         
BL_W10_T1.2_D10                    83          0.740        | 418   83          24.8        
BL_W10_T1.2_D8                     83          0.740        | 433   83          24.8        
BL_W10_T1.4_D6                     111         0.740        | 318   111         2.8         
BL_W10_T1.4_D4                     111         0.740        | 317   111         2.8         
BL_W10_T1.4_D2                     111         0.740        | 372   111         3.4         
BL_W10_T1.2_D40                    83          0.740        | 411   83          24.8        
BL_W10_T1.2_D30                    83          0.740        | 436   83          24.8        
BL_W10_T1.2_D25                    83          0.740        | 426   83          24.8        
BL_W10_T1.2_D20                    83          0.740        | 431   83          24.8        
BL_W10_T1.2_D15                    83          0.740        | 435   83          24.8        
BL_W10_T1.6_D2                     83          0.660        | 439   83          25.1        
BL_W10_T1.6_D4                     83          0.580        | 438   83          25.1        
BL_W10_T1.8_D4                     83          0.580        | 448   83          25.1        
BL_W40_T1.0_D40                    78          0.500        | 498   78          29.8        
BL_W40_T1.0_D30                    78          0.500        | 504   78          29.8        
BL_W40_T1.0_D25                    78          0.500        | 505   78          29.8        
BL_W40_T1.0_D20                    78          0.500        | 506   78          29.8        
BL_W40_T1.0_D15                    78          0.500        | 507   78          29.8        
BL_W40_T1.0_D10                    78          0.500        | 508   78          29.8        
BL_W40_T1.0_D8                     78          0.500        | 509   78          29.8        
BL_W20_T1.0_D20                    78          0.420        | 474   78          29.8        
BL_W20_T1.0_D25                    78          0.420        | 475   78          29.8        
BL_W20_T1.0_D30                    78          0.420        | 489   78          29.8        
BL_W20_T1.0_D40                    78          0.420        | 471   78          29.8        
BL_W20_T1.2_D2                     78          0.420        | 485   78          29.8        
BL_W20_T1.2_D4                     78          0.420        | 486   78          29.8        
BL_W20_T1.2_D6                     78          0.420        | 487   78          29.8        
BL_W20_T1.2_D8                     78          0.420        | 488   78          29.8        
BL_W20_T1.0_D15                    78          0.420        | 473   78          29.8        
BL_W20_T1.0_D10                    78          0.420        | 472   78          29.8        
BL_W20_T1.0_D8                     78          0.420        | 480   78          29.8        
BL_W20_T1.0_D6                     78          0.420        | 470   78          29.8        
BL_W20_T1.0_D4                     78          0.420        | 467   78          29.8        
BL_W50_T1.0_D40                    76          0.420        | 519   76          32.3        
BL_W50_T1.0_D30                    76          0.420        | 520   76          32.3        
BL_W50_T1.0_D25                    76          0.420        | 521   76          32.3        
BL_W50_T1.0_D20                    76          0.420        | 522   76          32.3        
BL_W30_T1.2_D10                    78          0.420        | 469   78          29.8        
BL_W30_T1.0_D4                     78          0.420        | 468   78          29.8        
BL_W30_T1.0_D6                     78          0.420        | 460   78          29.8        
BL_W30_T1.0_D8                     78          0.420        | 466   78          29.8        
BL_W30_T1.0_D10                    78          0.420        | 465   78          29.8        
BL_W30_T1.0_D15                    78          0.420        | 459   78          29.8        
BL_W30_T1.0_D20                    78          0.420        | 461   78          29.8        
BL_W30_T1.0_D25                    78          0.420        | 462   78          29.8        
BL_W30_T1.0_D30                    78          0.420        | 463   78          29.8        
BL_W30_T1.0_D40                    78          0.420        | 464   78          29.8        
BL_W30_T1.2_D4                     78          0.420        | 492   78          29.8        
BL_W30_T1.2_D6                     78          0.420        | 483   78          29.8        
BL_W30_T1.2_D8                     78          0.420        | 482   78          29.8        
