=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 73.4 BPM
Valid interval: 454-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 132 mmHg
Confidence: 0.279
95% CI: [130 - 134] mmHg
Agreement: 716/550 detectors

MAP: 133 mmHg
Est. Diastolic: 133 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.8_D2                     133         0.464        | 191   133         23.3        
BL_W10_T1.6_D2                     133         0.464        | 196   133         23.3        
BL_W10_T1.4_D2                     133         0.464        | 189   133         23.3        
BL_W10_T1.2_D2                     133         0.464        | 193   133         23.3        
BL_W10_T1.0_D2                     133         0.464        | 194   133         23.3        
BL_W20_T1.0_D2                     136         0.420        | 342   136         25.6        
BL_W20_T1.4_D2                     122         0.420        | 22    122         12.1        
BL_W40_T1.6_D4                     135         0.340        | 280   135         25.1        
BL_W40_T1.8_D4                     135         0.340        | 285   135         25.1        
BL_W30_T1.0_D2                     135         0.340        | 282   135         25.1        
BL_W40_T2.0_D4                     135         0.340        | 283   135         25.1        
BL_W40_T2.2_D4                     135         0.340        | 281   135         25.1        
BL_W40_T1.4_D4                     135         0.340        | 290   135         25.1        
BL_W40_T2.4_D4                     135         0.340        | 301   135         25.1        
BL_W40_T1.2_D4                     135         0.340        | 296   135         25.1        
BL_W30_T1.2_D2                     135         0.340        | 277   135         24.7        
BL_W40_T2.6_D4                     135         0.340        | 299   135         25.1        
BL_W20_T1.2_D2                     135         0.340        | 298   135         25.1        
BL_W40_T1.2_D2                     135         0.340        | 279   135         24.7        
BL_W40_T1.0_D4                     135         0.340        | 294   135         25.1        
BL_W40_T2.8_D4                     135         0.340        | 289   135         25.1        
BL_W30_T1.4_D2                     135         0.340        | 278   135         24.7        
BL_W40_T3.0_D4                     135         0.340        | 300   135         25.1        
BL_W40_T1.0_D2                     135         0.340        | 292   135         25.1        
BL_W10_T2.2_D4                     133         0.336        | 133   133         22.5        
BL_W10_T2.0_D4                     133         0.336        | 121   133         22.5        
BL_W10_T1.6_D4                     133         0.336        | 123   133         22.5        
BL_W10_T1.8_D4                     133         0.336        | 126   133         22.5        
BL_W10_T1.0_D4                     133         0.336        | 134   133         22.5        
BL_W10_T2.4_D4                     133         0.336        | 135   133         22.5        
BL_W10_T1.4_D4                     133         0.336        | 127   133         22.5        
BL_W10_T2.6_D4                     133         0.336        | 132   133         22.5        
BL_W10_T1.2_D4                     133         0.336        | 131   133         22.5        
BL_W10_T2.8_D4                     133         0.336        | 130   133         22.5        
BL_W10_T3.0_D4                     133         0.336        | 128   133         22.5        
BL_W50_T1.8_D4                     134         0.272        | 275   134         24.3        
BL_W50_T1.6_D4                     134         0.272        | 274   134         24.3        
BL_W50_T2.0_D4                     134         0.272        | 272   134         24.3        
BL_W50_T1.4_D4                     134         0.272        | 273   134         24.3        
BL_W50_T1.2_D4                     134         0.272        | 270   134         24.3        
BL_W50_T1.0_D4                     134         0.272        | 267   134         24.3        
BL_W50_T1.0_D2                     134         0.272        | 276   134         24.4        
BL_W50_T2.2_D4                     134         0.272        | 271   134         24.3        
BL_W50_T2.4_D4                     134         0.272        | 269   134         24.3        
BL_W50_T2.8_D4                     134         0.272        | 265   134         24.3        
BL_W50_T2.6_D4                     134         0.272        | 266   134         24.3        
BL_W50_T3.0_D4                     134         0.272        | 268   134         24.3        
BL_W30_T1.6_D4                     133         0.260        | 93    133         22.5        
BL_W30_T2.8_D4                     133         0.260        | 100   133         22.5        
BL_W20_T1.8_D4                     133         0.260        | 136   133         22.5        
BL_W30_T1.0_D4                     133         0.260        | 110   133         22.5        
BL_W50_T1.6_D6                     133         0.260        | 105   133         22.5        
BL_W30_T2.2_D4                     133         0.260        | 115   133         22.5        
BL_W50_T1.6_D2                     133         0.260        | 195   133         23.3        
BL_W20_T1.6_D4                     133         0.260        | 129   133         22.5        
BL_W50_T2.8_D6                     133         0.260        | 116   133         22.5        
BL_W20_T1.4_D4                     133         0.260        | 124   133         22.5        
BL_W50_T1.4_D6                     133         0.260        | 102   133         22.5        
BL_W50_T1.0_D6                     133         0.260        | 97    133         22.5        
BL_W30_T2.0_D4                     133         0.260        | 107   133         22.5        
BL_W50_T1.4_D2                     133         0.260        | 197   133         23.3        
BL_W30_T1.2_D4                     133         0.260        | 112   133         22.5        
BL_W20_T1.2_D4                     133         0.260        | 122   133         22.5        
BL_W30_T1.4_D4                     133         0.260        | 114   133         22.5        
BL_W50_T1.2_D6                     133         0.260        | 98    133         22.5        
BL_W50_T3.0_D6                     133         0.260        | 113   133         22.5        
BL_W50_T1.2_D2                     133         0.260        | 192   133         23.3        
BL_W30_T1.8_D4                     133         0.260        | 120   133         22.5        
BL_W20_T1.0_D4                     133         0.260        | 125   133         22.5        
BL_W40_T1.4_D2                     133         0.260        | 190   133         23.3        
BL_W20_T2.6_D4                     133         0.260        | 101   133         22.5        
BL_W50_T2.2_D6                     133         0.260        | 117   133         22.5        
BL_W50_T2.4_D6                     133         0.260        | 119   133         22.5        
BL_W20_T2.8_D4                     133         0.260        | 104   133         22.5        
BL_W30_T3.0_D4                     133         0.260        | 95    133         22.5        
BL_W20_T2.4_D4                     133         0.260        | 99    133         22.5        
BL_W30_T2.6_D4                     133         0.260        | 103   133         22.5        
BL_W50_T2.0_D6                     133         0.260        | 111   133         22.5        
BL_W20_T2.2_D4                     133         0.260        | 96    133         22.5        
BL_W50_T2.6_D6                     133         0.260        | 118   133         22.5        
BL_W20_T3.0_D4                     133         0.260        | 106   133         22.5        
BL_W20_T2.0_D4                     133         0.260        | 94    133         22.5        
BL_W50_T1.8_D2                     133         0.260        | 198   133         23.4        
BL_W30_T2.4_D4                     133         0.260        | 109   133         22.5        
BL_W50_T1.8_D6                     133         0.260        | 108   133         22.5        
BL_W40_T1.6_D2                     132         0.260        | 92    132         22.1        
BL_W10_T3.0_D6                     131         0.208        | 71    131         21.3        
BL_W10_T1.6_D6                     131         0.208        | 76    131         21.3        
BL_W10_T1.4_D6                     131         0.208        | 73    131         21.3        
BL_W10_T1.2_D6                     131         0.208        | 75    131         21.3        
BL_W10_T2.8_D6                     131         0.208        | 74    131         21.3        
BL_W10_T2.0_D6                     131         0.208        | 80    131         21.3        
BL_W10_T2.2_D6                     131         0.208        | 79    131         21.3        
BL_W10_T2.4_D6                     131         0.208        | 77    131         21.3        
BL_W10_T1.8_D6                     131         0.208        | 78    131         21.3        
BL_W10_T2.6_D6                     131         0.208        | 70    131         21.3        
BL_W10_T1.0_D6                     131         0.208        | 72    131         21.3        
BL_W30_T3.0_D2                     122         0.130        | 16    122         12.1        
BL_W30_T1.6_D2                     122         0.130        | 21    122         12.1        
BL_W30_T1.8_D2                     122         0.130        | 20    122         12.1        
BL_W30_T2.8_D2                     122         0.130        | 15    122         12.1        
BL_W30_T2.0_D2                     122         0.130        | 19    122         12.1        
BL_W30_T2.6_D2                     122         0.130        | 17    122         12.1        
BL_W30_T2.2_D2                     122         0.130        | 18    122         12.1        
BL_W30_T2.4_D2                     122         0.130        | 14    122         12.1        
BL_W10_T2.4_D2                     122         0.130        | 24    122         12.3        
BL_W10_T2.0_D2                     122         0.130        | 25    122         12.3        
BL_W10_T3.0_D2                     122         0.130        | 28    122         12.3        
BL_W10_T2.2_D2                     122         0.130        | 23    122         12.3        
BL_W10_T2.6_D2                     122         0.130        | 26    122         12.3        
BL_W10_T2.8_D2                     122         0.130        | 27    122         12.3        
BL_W20_T2.8_D2                     135         0.126        | 286   135         25.1        
BL_W50_T2.0_D2                     121         0.126        | 9     121         11.1        
BL_W40_T2.4_D2                     121         0.126        | 3     121         11.0        
BL_W10_T1.4_D8                     135         0.126        | 326   135         25.3        
BL_W50_T2.4_D2                     121         0.126        | 12    121         11.1        
BL_W10_T1.4_D10                    135         0.126        | 319   135         25.3        
BL_W50_T2.8_D2                     121         0.126        | 8     121         11.1        
