=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 55.3 BPM
Valid interval: 445-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 108 mmHg
Confidence: 0.086
95% CI: [105 - 110] mmHg
Agreement: 1959/550 detectors

MAP: 104 mmHg
Est. Diastolic: 102 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.2_D15                    116         1.060        | 225   116         2.8         
BL_W10_T1.6_D15                    113         1.060        | 172   113         0.4         
BL_W10_T1.4_D25                    113         1.060        | 56    113         0.1         
BL_W10_T1.4_D20                    113         1.060        | 57    113         0.1         
BL_W10_T1.4_D15                    116         1.060        | 226   116         2.8         
BL_W10_T1.6_D20                    113         1.060        | 93    113         0.1         
BL_W10_T1.6_D25                    113         1.060        | 92    113         0.1         
BL_W10_T1.6_D30                    113         1.060        | 192   113         0.4         
BL_W10_T1.2_D25                    113         1.060        | 65    113         0.1         
BL_W10_T1.2_D20                    113         1.060        | 66    113         0.1         
BL_W10_T1.0_D20                    113         1.060        | 76    113         0.1         
BL_W10_T1.0_D15                    116         1.060        | 227   116         2.8         
BL_W10_T1.4_D30                    110         0.980        | 231   110         3.3         
BL_W10_T1.0_D30                    110         0.980        | 230   110         3.3         
BL_W10_T1.2_D30                    110         0.980        | 229   110         3.3         
BL_W10_T1.0_D25                    110         0.980        | 228   110         3.3         
BL_W10_T1.2_D4                     148         0.900        | 516   148         34.7        
BL_W10_T1.0_D6                     148         0.900        | 509   148         34.7        
BL_W10_T1.0_D8                     133         0.900        | 443   133         20.3        
BL_W10_T1.0_D10                    129         0.900        | 275   129         15.5        
BL_W10_T1.4_D10                    129         0.900        | 277   129         15.5        
BL_W10_T1.4_D8                     133         0.900        | 440   133         20.3        
BL_W10_T1.4_D6                     148         0.900        | 530   148         34.7        
BL_W10_T1.2_D10                    129         0.900        | 274   129         15.5        
BL_W10_T1.2_D8                     133         0.900        | 439   133         20.3        
BL_W10_T1.2_D6                     148         0.900        | 510   148         34.7        
BL_W10_T1.2_D2                     148         0.900        | 538   148         34.8        
BL_W10_T1.8_D30                    100         0.820        | 248   100         13.3        
BL_W10_T1.8_D20                    100         0.820        | 246   100         12.7        
BL_W10_T1.8_D25                    100         0.820        | 251   100         13.3        
BL_W10_T1.4_D4                     135         0.820        | 455   135         21.6        
BL_W10_T1.4_D2                     135         0.820        | 456   135         21.6        
BL_W10_T1.6_D10                    129         0.784        | 273   129         15.5        
BL_W30_T1.0_D10                    95          0.740        | 332   95          17.8        
BL_W30_T1.0_D8                     95          0.740        | 321   95          17.8        
BL_W30_T1.0_D6                     95          0.740        | 317   95          17.8        
