=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 82.9 BPM
Valid interval: 413-1399 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 104 mmHg
Confidence: 0.079
95% CI: [102 - 106] mmHg
Agreement: 2992/550 detectors

MAP: 104 mmHg
Est. Diastolic: 104 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.0_D4                     124         1.200        | 56    124         4.0         
BL_W10_T1.0_D2                     124         1.200        | 66    124         4.0         
BL_W30_T1.0_D20                    103         1.200        | 370   103         16.9        
BL_W30_T1.0_D25                    103         1.200        | 367   103         16.9        
BL_W30_T1.0_D30                    103         1.200        | 369   103         16.9        
BL_W30_T1.0_D40                    103         1.200        | 375   103         16.9        
BL_W10_T1.8_D25                    102         1.200        | 434   102         17.5        
BL_W10_T1.6_D25                    102         1.200        | 433   102         17.5        
BL_W10_T1.6_D20                    103         1.200        | 406   103         17.2        
BL_W10_T1.6_D15                    102         1.200        | 432   102         17.5        
BL_W10_T1.6_D10                    102         1.200        | 431   102         17.5        
BL_W10_T1.4_D25                    102         1.200        | 443   102         17.5        
BL_W10_T1.4_D20                    103         1.200        | 407   103         17.2        
BL_W10_T1.4_D15                    102         1.200        | 447   102         17.5        
BL_W10_T1.4_D10                    102         1.200        | 449   102         17.5        
BL_W10_T1.2_D25                    102         1.200        | 444   102         17.5        
BL_W10_T1.2_D15                    103         1.200        | 408   103         17.2        
BL_W10_T1.0_D8                     124         1.200        | 68    124         4.0         
BL_W10_T1.0_D6                     124         1.200        | 67    124         4.0         
BL_W10_T1.0_D20                    113         1.200        | 300   113         6.8         
BL_W10_T1.0_D10                    114         1.200        | 134   114         6.5         
BL_W10_T1.0_D15                    114         1.200        | 137   114         6.5         
BL_W10_T1.2_D20                    103         1.200        | 409   103         17.2        
BL_W10_T1.0_D25                    109         1.200        | 309   109         11.4        
BL_W10_T1.2_D10                    103         1.200        | 396   103         17.2        
BL_W10_T1.2_D8                     103         1.140        | 398   103         17.2        
BL_W10_T1.2_D40                    98          1.140        | 501   98          22.2        
BL_W10_T1.8_D30                    98          1.140        | 510   98          22.2        
BL_W10_T1.8_D40                    98          1.140        | 509   98          22.2        
BL_W10_T1.6_D40                    98          1.140        | 508   98          22.2        
BL_W10_T1.6_D30                    98          1.140        | 507   98          22.2        
BL_W10_T1.4_D8                     102         1.140        | 451   102         17.5        
BL_W10_T1.0_D30                    98          1.140        | 505   98          22.2        
BL_W10_T1.0_D40                    98          1.140        | 504   98          22.2        
BL_W10_T1.6_D8                     102         1.140        | 430   102         17.5        
BL_W10_T1.4_D40                    98          1.140        | 496   98          22.2        
BL_W10_T1.4_D30                    98          1.140        | 497   98          22.2        
BL_W10_T1.2_D30                    98          1.140        | 494   98          22.2        
BL_W30_T1.0_D4                     103         1.060        | 384   103         16.9        
BL_W30_T1.0_D6                     103         1.060        | 381   103         16.9        
BL_W30_T1.0_D8                     103         1.060        | 380   103         16.9        
BL_W30_T1.0_D10                    103         1.060        | 376   103         16.9        
BL_W30_T1.0_D2                     103         1.060        | 385   103         16.9        
BL_W30_T1.0_D15                    103         1.060        | 373   103         16.9        
BL_W10_T1.4_D2                     102         1.060        | 445   102         17.5        
BL_W10_T1.2_D6                     103         1.060        | 401   103         17.2        
BL_W10_T1.2_D4                     103         1.060        | 403   103         17.2        
BL_W10_T1.4_D4                     102         1.060        | 446   102         17.5        
BL_W10_T1.6_D2                     102         1.060        | 439   102         17.5        
BL_W10_T1.4_D6                     102         1.060        | 448   102         17.5        
BL_W10_T1.2_D2                     103         1.060        | 395   103         17.2        
BL_W10_T1.6_D6                     102         1.060        | 450   102         17.5        
BL_W10_T1.6_D4                     102         1.060        | 442   102         17.5        
BL_W10_T1.8_D20                    94          0.980        | 521   94          26.3        
BL_W10_T1.8_D10                    94          0.980        | 526   94          26.3        
BL_W10_T1.8_D15                    94          0.980        | 525   94          26.3        
BL_W10_T2.0_D20                    103         0.960        | 405   103         17.2        
BL_W10_T2.0_D25                    102         0.960        | 435   102         17.5        
BL_W10_T2.0_D15                    103         0.912        | 363   103         16.6        
BL_W10_T2.0_D30                    103         0.912        | 365   103         16.6        
BL_W10_T2.0_D40                    103         0.912        | 383   103         16.9        
BL_W40_T1.0_D30                    103         0.900        | 424   103         17.2        
BL_W40_T1.0_D15                    103         0.900        | 425   103         17.2        
BL_W40_T1.0_D20                    103         0.900        | 423   103         17.2        
BL_W40_T1.0_D25                    103         0.900        | 422   103         17.2        
BL_W30_T1.2_D2                     103         0.900        | 374   103         16.9        
BL_W40_T1.0_D10                    103         0.900        | 426   103         17.2        
BL_W40_T1.0_D8                     103         0.900        | 427   103         17.2        
BL_W40_T1.0_D6                     103         0.900        | 428   103         17.2        
BL_W40_T1.0_D4                     103         0.900        | 429   103         17.2        
BL_W20_T1.0_D20                    104         0.900        | 335   104         16.2        
BL_W40_T1.2_D40                    103         0.900        | 413   103         17.2        
BL_W40_T1.2_D30                    103         0.900        | 417   103         17.2        
BL_W40_T1.2_D25                    103         0.900        | 411   103         17.2        
BL_W40_T1.2_D20                    103         0.900        | 410   103         17.2        
BL_W40_T1.2_D15                    103         0.900        | 414   103         17.2        
BL_W40_T1.2_D10                    103         0.900        | 415   103         17.2        
BL_W40_T1.2_D8                     103         0.900        | 416   103         17.2        
BL_W20_T1.0_D30                    103         0.900        | 350   103         16.6        
BL_W20_T1.0_D25                    104         0.900        | 336   104         16.2        
BL_W40_T1.0_D40                    103         0.900        | 421   103         17.2        
BL_W20_T1.0_D15                    104         0.900        | 334   104         16.2        
BL_W20_T1.0_D10                    104         0.900        | 333   104         16.2        
BL_W20_T1.0_D8                     104         0.900        | 332   104         16.2        
BL_W20_T1.0_D6                     104         0.900        | 331   104         16.2        
BL_W20_T1.0_D4                     104         0.900        | 330   104         16.2        
