=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 60.5 BPM
Valid interval: 521-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 118 mmHg
Confidence: 0.063
95% CI: [115 - 120] mmHg
Agreement: 2694/550 detectors

MAP: 106 mmHg
Est. Diastolic: 100 mmHg
Oscillometric MAP Systolic: 134 mmHg
Oscillometric MAP Diastolic: 101 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.8_D20                    132         1.200        | 121   132         2.3         
BL_W10_T1.6_D4                     133         1.200        | 221   133         2.8         
BL_W10_T1.6_D6                     133         1.200        | 237   133         2.8         
BL_W10_T1.6_D8                     133         1.200        | 195   133         2.8         
BL_W10_T1.6_D10                    133         1.200        | 196   133         2.8         
BL_W10_T1.6_D15                    132         1.200        | 116   132         2.3         
BL_W10_T1.6_D20                    132         1.200        | 117   132         2.3         
BL_W10_T1.6_D25                    132         1.200        | 63    132         1.8         
BL_W10_T1.6_D30                    132         1.200        | 64    132         1.8         
BL_W10_T1.6_D40                    131         1.200        | 10    131         1.2         
BL_W10_T1.8_D2                     135         1.200        | 252   135         4.9         
BL_W10_T1.8_D4                     133         1.200        | 197   133         2.8         
BL_W10_T1.8_D6                     133         1.200        | 198   133         2.8         
BL_W10_T1.8_D8                     133         1.200        | 199   133         2.8         
BL_W10_T1.8_D10                    133         1.200        | 200   133         2.8         
BL_W10_T1.8_D15                    132         1.200        | 122   132         2.3         
BL_W10_T1.0_D4                     133         1.200        | 138   133         2.8         
BL_W10_T1.8_D25                    132         1.200        | 14    132         1.8         
BL_W10_T1.8_D30                    132         1.200        | 11    132         1.8         
BL_W10_T1.8_D40                    131         1.200        | 8     131         1.2         
BL_W10_T2.0_D2                     135         1.200        | 256   135         4.9         
BL_W10_T2.0_D4                     133         1.200        | 201   133         2.8         
BL_W10_T2.0_D6                     133         1.200        | 202   133         2.8         
BL_W10_T2.0_D8                     133         1.200        | 203   133         2.8         
BL_W10_T2.0_D10                    133         1.200        | 204   133         2.8         
BL_W10_T2.0_D15                    132         1.200        | 115   132         2.3         
BL_W10_T2.0_D20                    132         1.200        | 114   132         2.3         
BL_W10_T2.0_D25                    132         1.200        | 16    132         1.8         
BL_W10_T2.0_D30                    132         1.200        | 17    132         1.8         
BL_W10_T2.0_D40                    131         1.200        | 5     131         1.2         
BL_W10_T1.0_D2                     135         1.200        | 246   135         4.9         
BL_W10_T1.4_D40                    131         1.200        | 3     131         1.2         
BL_W10_T1.6_D2                     135         1.200        | 244   135         4.9         
BL_W10_T1.0_D6                     133         1.200        | 227   133         2.8         
BL_W10_T1.0_D8                     133         1.200        | 229   133         2.8         
BL_W10_T1.0_D10                    133         1.200        | 234   133         2.8         
BL_W10_T1.0_D15                    132         1.200        | 130   132         2.3         
BL_W10_T1.0_D20                    132         1.200        | 125   132         2.3         
BL_W10_T1.0_D25                    132         1.200        | 55    132         1.8         
BL_W10_T1.0_D30                    132         1.200        | 54    132         1.8         
BL_W10_T1.0_D40                    131         1.200        | 7     131         1.2         
BL_W10_T1.2_D2                     135         1.200        | 261   135         4.9         
BL_W10_T1.2_D4                     133         1.200        | 235   133         2.8         
BL_W10_T1.2_D6                     133         1.200        | 236   133         2.8         
BL_W10_T1.2_D8                     133         1.200        | 239   133         2.8         
BL_W10_T1.2_D10                    133         1.200        | 240   133         2.8         
BL_W10_T1.2_D20                    132         1.200        | 102   132         2.3         
BL_W10_T1.2_D15                    132         1.200        | 135   132         2.3         
BL_W10_T1.4_D30                    132         1.200        | 44    132         1.8         
BL_W10_T1.4_D25                    132         1.200        | 45    132         1.8         
BL_W10_T1.4_D20                    132         1.200        | 110   132         2.3         
BL_W10_T1.4_D15                    132         1.200        | 109   132         2.3         
BL_W10_T1.4_D10                    133         1.200        | 238   133         2.8         
BL_W10_T1.4_D8                     133         1.200        | 241   133         2.8         
BL_W10_T1.4_D6                     133         1.200        | 242   133         2.8         
BL_W10_T1.4_D4                     133         1.200        | 243   133         2.8         
BL_W10_T1.4_D2                     135         1.200        | 257   135         4.9         
BL_W10_T1.2_D40                    131         1.200        | 2     131         1.2         
BL_W10_T1.2_D30                    132         1.200        | 49    132         1.8         
BL_W10_T1.2_D25                    132         1.200        | 50    132         1.8         
BL_W30_T1.4_D4                     117         0.980        | 300   117         13.0        
BL_W30_T1.4_D2                     117         0.980        | 301   117         13.0        
BL_W30_T1.2_D40                    117         0.980        | 302   117         13.0        
BL_W30_T1.2_D30                    117         0.980        | 303   117         13.0        
BL_W30_T1.2_D25                    117         0.980        | 304   117         13.0        
BL_W30_T1.2_D20                    117         0.980        | 305   117         13.0        
BL_W30_T1.2_D15                    117         0.980        | 306   117         13.0        
BL_W30_T1.2_D10                    117         0.980        | 307   117         13.0        
BL_W30_T1.4_D10                    117         0.980        | 297   117         13.0        
BL_W30_T1.2_D8                     117         0.980        | 308   117         13.0        
BL_W30_T1.2_D6                     117         0.980        | 309   117         13.0        
BL_W30_T1.2_D4                     117         0.980        | 310   117         13.0        
BL_W30_T1.2_D2                     117         0.980        | 311   117         13.0        
BL_W30_T1.0_D40                    118         0.980        | 272   118         12.4        
BL_W30_T1.0_D30                    118         0.980        | 273   118         12.4        
BL_W30_T1.0_D25                    118         0.980        | 274   118         12.4        
BL_W30_T1.4_D6                     117         0.980        | 299   117         13.0        
BL_W30_T1.4_D8                     117         0.980        | 298   117         13.0        
BL_W30_T1.4_D40                    117         0.980        | 286   117         13.0        
BL_W20_T1.0_D4                     117         0.980        | 288   117         13.0        
BL_W20_T1.0_D6                     117         0.980        | 289   117         13.0        
BL_W20_T1.0_D8                     117         0.980        | 290   117         13.0        
BL_W20_T1.0_D10                    117         0.980        | 291   117         13.0        
BL_W20_T1.0_D15                    117         0.980        | 292   117         13.0        
BL_W20_T1.0_D20                    117         0.980        | 293   117         13.0        
BL_W20_T1.0_D25                    117         0.980        | 294   117         13.0        
BL_W20_T1.0_D30                    117         0.980        | 295   117         13.0        
BL_W20_T1.0_D40                    117         0.980        | 296   117         13.0        
BL_W30_T1.4_D30                    117         0.980        | 285   117         13.0        
BL_W30_T1.4_D25                    117         0.980        | 284   117         13.0        
BL_W30_T1.4_D20                    117         0.980        | 283   117         13.0        
BL_W30_T1.4_D15                    117         0.980        | 282   117         13.0        
BL_W30_T1.0_D15                    118         0.980        | 278   118         12.4        
BL_W30_T1.0_D10                    118         0.980        | 276   118         12.4        
BL_W30_T1.0_D8                     118         0.980        | 277   118         12.4        
BL_W30_T1.0_D6                     118         0.980        | 279   118         12.4        
BL_W30_T1.0_D4                     118         0.980        | 280   118         12.4        
BL_W30_T1.0_D20                    118         0.980        | 275   118         12.4        
BL_W50_T1.2_D8                     114         0.900        | 339   114         15.9        
BL_W50_T1.4_D10                    114         0.900        | 395   114         15.9        
BL_W50_T1.2_D10                    114         0.900        | 340   114         15.9        
BL_W50_T1.2_D15                    114         0.900        | 341   114         15.9        
BL_W50_T1.2_D20                    114         0.900        | 342   114         15.9        
BL_W50_T1.2_D25                    114         0.900        | 343   114         15.9        
BL_W50_T1.2_D30                    114         0.900        | 401   114         15.9        
BL_W50_T1.2_D40                    114         0.900        | 390   114         15.9        
BL_W50_T1.4_D2                     114         0.900        | 391   114         15.9        
BL_W50_T1.4_D4                     114         0.900        | 361   114         15.9        
BL_W50_T1.4_D6                     114         0.900        | 393   114         15.9        
BL_W50_T1.4_D8                     114         0.900        | 394   114         15.9        
