=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 102.0 BPM
Valid interval: 347-967 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 125 mmHg
Confidence: 0.063
95% CI: [122 - 128] mmHg
Agreement: 3387/550 detectors

MAP: 105 mmHg
Est. Diastolic: 95 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.4_D25                    138         1.200        | 102   138         3.4         
BL_W10_T1.2_D40                    134         1.200        | 4     134         1.2         
BL_W10_T1.4_D2                     144         1.200        | 311   144         9.2         
BL_W10_T1.4_D4                     144         1.200        | 310   144         9.2         
BL_W10_T1.4_D6                     144         1.200        | 309   144         9.2         
BL_W10_T1.4_D8                     144         1.200        | 294   144         8.9         
BL_W10_T1.4_D10                    140         1.200        | 232   140         5.2         
BL_W10_T1.4_D15                    140         1.200        | 250   140         5.2         
BL_W10_T1.4_D20                    140         1.200        | 249   140         5.2         
BL_W10_T1.0_D4                     144         1.200        | 302   144         9.2         
BL_W10_T1.4_D30                    138         1.200        | 109   138         3.4         
BL_W10_T1.4_D40                    134         1.200        | 2     134         1.2         
BL_W10_T1.0_D2                     144         1.200        | 303   144         9.2         
BL_W10_T1.6_D15                    125         1.200        | 337   125         9.8         
BL_W10_T1.6_D20                    125         1.200        | 338   125         9.8         
BL_W10_T1.6_D25                    125         1.200        | 331   125         9.8         
BL_W10_T1.6_D30                    125         1.200        | 339   125         9.8         
BL_W10_T1.6_D40                    125         1.200        | 340   125         9.8         
BL_W10_T1.2_D25                    138         1.200        | 131   138         3.4         
BL_W10_T1.0_D6                     144         1.200        | 315   144         9.2         
BL_W10_T1.0_D8                     144         1.200        | 295   144         8.9         
BL_W10_T1.0_D10                    140         1.200        | 239   140         5.2         
BL_W10_T1.0_D15                    140         1.200        | 251   140         5.2         
BL_W10_T1.0_D20                    140         1.200        | 252   140         5.2         
BL_W10_T1.0_D25                    138         1.200        | 128   138         3.4         
BL_W10_T1.0_D30                    138         1.200        | 129   138         3.4         
BL_W10_T1.0_D40                    134         1.200        | 5     134         1.2         
BL_W10_T1.2_D4                     144         1.200        | 313   144         9.2         
BL_W10_T1.2_D30                    138         1.200        | 118   138         3.4         
BL_W10_T1.2_D20                    140         1.200        | 255   140         5.2         
BL_W10_T1.2_D15                    140         1.200        | 253   140         5.2         
BL_W10_T1.2_D10                    140         1.200        | 237   140         5.2         
BL_W10_T1.2_D8                     144         1.200        | 296   144         8.9         
BL_W10_T1.2_D6                     144         1.200        | 312   144         9.2         
BL_W10_T1.2_D2                     144         1.200        | 314   144         9.2         
