=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 55.8 BPM
Valid interval: 537-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 120 mmHg
Confidence: 0.055
95% CI: [117 - 123] mmHg
Agreement: 3177/550 detectors

MAP: 105 mmHg
Est. Diastolic: 98 mmHg
Oscillometric MAP Systolic: 137 mmHg
Oscillometric MAP Diastolic: 96 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W20_T1.2_D25                    136         1.200        | 111   136         4.3         
BL_W10_T2.0_D2                     161         1.200        | 453   161         20.6        
BL_W10_T2.0_D4                     147         1.200        | 172   147         7.0         
BL_W10_T2.0_D6                     143         1.200        | 39    143         3.4         
BL_W10_T2.0_D8                     139         1.200        | 10    139         1.3         
BL_W10_T2.0_D10                    139         1.200        | 9     139         1.3         
BL_W10_T2.0_D15                    136         1.200        | 128   136         4.3         
BL_W10_T2.0_D20                    136         1.200        | 116   136         4.3         
BL_W10_T2.0_D25                    136         1.200        | 105   136         4.3         
BL_W10_T2.0_D30                    136         1.200        | 108   136         4.3         
BL_W20_T1.2_D40                    135         1.200        | 165   135         4.9         
BL_W20_T1.2_D30                    135         1.200        | 164   135         4.9         
BL_W10_T2.0_D40                    135         1.200        | 152   135         4.9         
BL_W20_T1.2_D20                    136         1.200        | 110   136         4.3         
BL_W20_T1.2_D15                    136         1.200        | 109   136         4.3         
BL_W20_T1.2_D10                    138         1.200        | 11    138         1.6         
BL_W20_T1.2_D8                     143         1.200        | 49    143         3.4         
BL_W20_T1.0_D40                    135         1.200        | 161   135         4.9         
BL_W20_T1.0_D30                    135         1.200        | 160   135         4.9         
BL_W20_T1.0_D8                     143         1.200        | 59    143         3.4         
BL_W20_T1.0_D10                    138         1.200        | 12    138         1.6         
BL_W20_T1.0_D15                    136         1.200        | 132   136         4.3         
BL_W20_T1.0_D20                    136         1.200        | 102   136         4.3         
BL_W20_T1.0_D25                    136         1.200        | 104   136         4.3         
BL_W20_T1.2_D2                     147         1.060        | 179   147         7.1         
BL_W20_T1.2_D4                     147         1.060        | 169   147         7.0         
BL_W20_T1.8_D2                     124         0.980        | 205   124         16.0        
BL_W20_T1.4_D30                    124         0.980        | 190   124         16.0        
BL_W20_T1.4_D40                    124         0.980        | 220   124         16.0        
BL_W50_T1.6_D30                    122         0.980        | 394   122         18.4        
BL_W50_T1.6_D25                    122         0.980        | 395   122         18.4        
BL_W50_T1.6_D20                    122         0.980        | 396   122         18.4        
BL_W20_T1.6_D8                     124         0.980        | 211   124         16.0        
BL_W20_T1.6_D10                    124         0.980        | 210   124         16.0        
BL_W20_T1.6_D15                    124         0.980        | 209   124         16.0        
BL_W20_T1.6_D20                    124         0.980        | 203   124         16.0        
BL_W20_T1.6_D25                    124         0.980        | 202   124         16.0        
BL_W20_T1.6_D30                    124         0.980        | 201   124         16.0        
BL_W20_T1.6_D40                    124         0.980        | 204   124         16.0        
BL_W20_T1.4_D20                    124         0.980        | 223   124         16.0        
BL_W20_T1.8_D4                     124         0.980        | 206   124         16.0        
BL_W20_T1.8_D6                     124         0.980        | 207   124         16.0        
BL_W20_T1.8_D8                     124         0.980        | 208   124         16.0        
BL_W20_T1.8_D10                    124         0.980        | 214   124         16.0        
BL_W20_T1.8_D15                    124         0.980        | 215   124         16.0        
BL_W20_T1.8_D20                    124         0.980        | 216   124         16.0        
BL_W20_T1.8_D25                    124         0.980        | 217   124         16.0        
BL_W20_T1.8_D30                    124         0.980        | 218   124         16.0        
BL_W20_T1.8_D40                    124         0.980        | 212   124         16.0        
BL_W30_T1.0_D30                    124         0.980        | 221   124         16.0        
BL_W30_T1.2_D40                    123         0.980        | 305   123         16.8        
BL_W30_T1.2_D30                    123         0.980        | 306   123         16.8        
BL_W30_T1.2_D25                    123         0.980        | 307   123         16.8        
BL_W30_T1.2_D20                    123         0.980        | 308   123         16.8        
BL_W30_T1.2_D15                    123         0.980        | 309   123         16.8        
BL_W30_T1.2_D10                    123         0.980        | 310   123         16.8        
BL_W30_T1.4_D10                    123         0.980        | 300   123         16.8        
BL_W20_T1.2_D6                     144         0.980        | 66    144         3.5         
BL_W50_T1.4_D25                    122         0.980        | 405   122         18.4        
BL_W30_T1.0_D40                    124         0.980        | 195   124         16.0        
BL_W20_T1.4_D25                    124         0.980        | 222   124         16.0        
BL_W30_T1.0_D25                    124         0.980        | 196   124         16.0        
BL_W30_T1.0_D20                    124         0.980        | 197   124         16.0        
BL_W30_T1.0_D15                    124         0.980        | 198   124         16.0        
BL_W30_T1.0_D10                    124         0.980        | 199   124         16.0        
BL_W40_T1.4_D15                    123         0.980        | 274   123         16.8        
BL_W40_T1.4_D10                    123         0.980        | 285   123         16.8        
BL_W40_T1.4_D8                     123         0.980        | 261   123         16.8        
BL_W20_T1.4_D10                    124         0.980        | 185   124         16.0        
BL_W20_T1.4_D15                    124         0.980        | 184   124         16.0        
BL_W20_T2.0_D2                     124         0.980        | 186   124         16.0        
BL_W50_T1.4_D40                    122         0.980        | 403   122         18.4        
BL_W20_T2.2_D10                    123         0.980        | 322   123         16.8        
BL_W20_T2.2_D15                    123         0.980        | 290   123         16.8        
BL_W20_T2.2_D20                    123         0.980        | 292   123         16.8        
BL_W20_T2.2_D25                    123         0.980        | 293   123         16.8        
BL_W20_T2.2_D30                    123         0.980        | 294   123         16.8        
BL_W20_T2.2_D40                    123         0.980        | 296   123         16.8        
BL_W50_T1.6_D15                    122         0.980        | 397   122         18.4        
BL_W50_T1.6_D10                    122         0.980        | 398   122         18.4        
BL_W50_T1.6_D8                     122         0.980        | 399   122         18.4        
BL_W50_T1.6_D4                     122         0.980        | 401   122         18.4        
BL_W50_T1.6_D2                     122         0.980        | 402   122         18.4        
BL_W20_T2.2_D8                     123         0.980        | 316   123         16.8        
BL_W50_T1.4_D30                    122         0.980        | 392   122         18.4        
BL_W30_T1.4_D40                    123         0.980        | 291   123         16.8        
BL_W30_T1.4_D30                    123         0.980        | 295   123         16.8        
BL_W40_T1.2_D40                    123         0.980        | 282   123         16.8        
BL_W40_T1.2_D30                    123         0.980        | 264   123         16.8        
BL_W40_T1.2_D25                    123         0.980        | 262   123         16.8        
BL_W40_T1.2_D20                    123         0.980        | 265   123         16.8        
BL_W40_T1.2_D15                    123         0.980        | 266   123         16.8        
BL_W40_T1.2_D10                    123         0.980        | 267   123         16.8        
BL_W40_T1.2_D8                     123         0.980        | 268   123         16.8        
BL_W30_T1.4_D25                    123         0.980        | 297   123         16.8        
BL_W50_T2.0_D10                    121         0.980        | 440   121         18.9        
BL_W20_T2.0_D4                     124         0.980        | 189   124         16.0        
BL_W20_T2.0_D6                     124         0.980        | 188   124         16.0        
BL_W20_T2.0_D8                     124         0.980        | 187   124         16.0        
BL_W20_T2.0_D10                    124         0.980        | 257   124         16.0        
BL_W20_T2.0_D15                    124         0.980        | 253   124         16.0        
BL_W20_T2.0_D20                    124         0.980        | 258   124         16.0        
BL_W20_T2.0_D25                    124         0.980        | 225   124         16.0        
BL_W20_T2.0_D30                    124         0.980        | 226   124         16.0        
BL_W20_T2.0_D40                    124         0.980        | 252   124         16.0        
BL_W20_T2.2_D2                     123         0.980        | 302   123         16.8        
BL_W20_T2.2_D4                     123         0.980        | 318   123         16.8        
BL_W40_T1.0_D40                    123         0.980        | 272   123         16.8        
BL_W30_T1.4_D15                    123         0.980        | 299   123         16.8        
BL_W30_T1.4_D20                    123         0.980        | 298   123         16.8        
BL_W50_T2.0_D40                    121         0.980        | 432   121         18.9        
BL_W40_T1.0_D8                     123         0.980        | 278   123         16.8        
BL_W40_T1.0_D10                    123         0.980        | 277   123         16.8        
BL_W40_T1.0_D15                    123         0.980        | 276   123         16.8        
BL_W40_T1.0_D20                    123         0.980        | 275   123         16.8        
BL_W40_T1.0_D25                    123         0.980        | 259   123         16.8        
BL_W40_T1.0_D30                    123         0.980        | 273   123         16.8        
BL_W20_T2.2_D6                     123         0.980        | 317   123         16.8        
BL_W50_T1.8_D30                    121         0.980        | 446   121         18.9        
BL_W50_T1.0_D10                    122         0.980        | 374   122         17.8        
BL_W10_T1.8_D8                     124         0.980        | 233   124         16.0        
BL_W10_T1.8_D10                    124         0.980        | 232   124         16.0        
BL_W10_T1.8_D15                    124         0.980        | 231   124         16.0        
BL_W10_T1.8_D20                    124         0.980        | 230   124         16.0        
BL_W10_T1.8_D25                    124         0.980        | 229   124         16.0        
BL_W10_T1.8_D30                    124         0.980        | 228   124         16.0        
BL_W10_T1.8_D40                    124         0.980        | 227   124         16.0        
BL_W50_T2.0_D2                     121         0.980        | 444   121         18.9        
BL_W50_T1.8_D40                    121         0.980        | 445   121         18.9        
BL_W50_T1.0_D15                    122         0.980        | 375   122         17.8        
BL_W50_T1.8_D25                    121         0.980        | 447   121         18.9        
BL_W50_T1.8_D20                    121         0.980        | 437   121         18.9        
BL_W50_T1.8_D15                    121         0.980        | 448   121         18.9        
BL_W50_T1.8_D10                    121         0.980        | 436   121         18.9        
BL_W50_T1.8_D8                     121         0.980        | 435   121         18.9        
BL_W50_T2.0_D30                    121         0.980        | 433   121         18.9        
BL_W50_T1.8_D4                     121         0.980        | 431   121         18.9        
BL_W50_T1.8_D2                     121         0.980        | 430   121         18.9        
BL_W50_T1.2_D8                     122         0.980        | 390   122         18.4        
BL_W10_T1.6_D30                    124         0.980        | 237   124         16.0        
BL_W50_T1.0_D40                    122         0.980        | 378   122         17.8        
BL_W10_T1.4_D40                    124         0.980        | 244   124         16.0        
BL_W10_T1.4_D30                    124         0.980        | 245   124         16.0        
BL_W10_T1.4_D25                    124         0.980        | 246   124         16.0        
BL_W10_T1.6_D8                     124         0.980        | 242   124         16.0        
BL_W10_T1.6_D10                    124         0.980        | 241   124         16.0        
BL_W10_T1.6_D15                    124         0.980        | 240   124         16.0        
BL_W10_T1.6_D20                    124         0.980        | 224   124         16.0        
BL_W10_T1.6_D25                    124         0.980        | 238   124         16.0        
BL_W20_T1.0_D6                     144         0.980        | 67    144         3.5         
BL_W10_T1.4_D20                    124         0.980        | 247   124         16.0        
BL_W10_T1.6_D40                    124         0.980        | 236   124         16.0        
BL_W10_T1.4_D15                    124         0.980        | 248   124         16.0        
BL_W50_T2.0_D4                     121         0.980        | 443   121         18.9        
BL_W10_T1.4_D10                    124         0.980        | 249   124         16.0        
BL_W10_T1.4_D8                     124         0.980        | 250   124         16.0        
BL_W50_T1.0_D30                    122         0.980        | 338   122         17.8        
BL_W50_T1.0_D25                    122         0.980        | 377   122         17.8        
BL_W50_T1.0_D20                    122         0.980        | 376   122         17.8        
BL_W40_T1.6_D15                    122         0.980        | 339   122         17.8        
BL_W40_T1.8_D8                     122         0.980        | 352   122         17.8        
BL_W50_T2.0_D20                    121         0.980        | 429   121         18.9        
BL_W40_T1.8_D4                     122         0.980        | 332   122         17.8        
BL_W40_T1.8_D2                     122         0.980        | 333   122         17.8        
BL_W40_T1.6_D40                    122         0.980        | 334   122         17.8        
BL_W40_T1.6_D30                    122         0.980        | 335   122         17.8        
BL_W50_T1.0_D8                     122         0.980        | 373   122         17.8        
BL_W40_T1.6_D25                    122         0.980        | 336   122         17.8        
BL_W40_T1.6_D20                    122         0.980        | 337   122         17.8        
BL_W50_T1.2_D15                    122         0.980        | 385   122         18.4        
BL_W40_T1.6_D10                    122         0.980        | 340   122         17.8        
BL_W40_T1.6_D8                     122         0.980        | 341   122         17.8        
BL_W50_T2.0_D15                    121         0.980        | 439   121         18.9        
BL_W50_T2.0_D8                     121         0.980        | 441   121         18.9        
BL_W40_T1.4_D40                    123         0.980        | 263   123         16.8        
BL_W40_T1.4_D30                    123         0.980        | 286   123         16.8        
BL_W40_T1.4_D25                    123         0.980        | 287   123         16.8        
BL_W40_T1.4_D20                    123         0.980        | 288   123         16.8        
BL_W50_T1.4_D20                    122         0.980        | 406   122         18.4        
BL_W50_T1.2_D25                    122         0.980        | 404   122         18.4        
BL_W50_T1.2_D30                    122         0.980        | 414   122         18.4        
BL_W50_T1.2_D40                    122         0.980        | 413   122         18.4        
BL_W50_T1.2_D20                    122         0.980        | 379   122         18.4        
BL_W50_T2.0_D25                    121         0.980        | 438   121         18.9        
BL_W50_T1.6_D40                    122         0.980        | 393   122         18.4        
BL_W50_T1.4_D8                     122         0.980        | 409   122         18.4        
BL_W50_T1.4_D10                    122         0.980        | 408   122         18.4        
BL_W50_T1.4_D15                    122         0.980        | 407   122         18.4        
BL_W40_T1.8_D40                    122         0.980        | 354   122         17.8        
BL_W50_T1.2_D10                    122         0.980        | 391   122         18.4        
BL_W40_T1.8_D30                    122         0.980        | 355   122         17.8        
BL_W40_T1.8_D25                    122         0.980        | 356   122         17.8        
BL_W40_T1.8_D20                    122         0.980        | 357   122         17.8        
BL_W40_T1.8_D15                    122         0.980        | 358   122         17.8        
BL_W40_T1.8_D10                    122         0.980        | 359   122         17.8        
BL_W20_T1.0_D4                     147         0.900        | 178   147         7.0         
BL_W30_T1.2_D6                     123         0.900        | 312   123         16.8        
BL_W30_T1.4_D6                     123         0.900        | 289   123         16.8        
BL_W30_T1.4_D8                     123         0.900        | 301   123         16.8        
BL_W30_T1.2_D8                     123         0.900        | 311   123         16.8        
BL_W10_T1.2_D40                    118         0.900        | 455   118         21.6        
BL_W10_T1.2_D30                    118         0.900        | 461   118         21.6        
BL_W30_T1.0_D8                     124         0.900        | 254   124         16.0        
BL_W10_T1.0_D40                    118         0.900        | 463   118         21.6        
BL_W20_T1.0_D2                     147         0.900        | 180   147         7.1         
BL_W10_T1.8_D6                     124         0.900        | 234   124         16.0        
BL_W50_T1.4_D2                     122         0.900        | 412   122         18.4        
BL_W50_T1.4_D4                     122         0.900        | 411   122         18.4        
BL_W40_T1.8_D6                     122         0.900        | 329   122         17.8        
BL_W20_T1.4_D8                     124         0.900        | 191   124         16.0        
BL_W40_T1.6_D4                     122         0.900        | 330   122         17.8        
BL_W40_T1.6_D2                     122         0.900        | 331   122         17.8        
BL_W40_T1.4_D4                     123         0.900        | 284   123         16.8        
BL_W40_T1.6_D6                     122         0.820        | 342   122         17.8        
BL_W30_T1.4_D4                     123         0.820        | 303   123         16.8        
BL_W50_T1.2_D4                     122         0.820        | 388   122         18.4        
BL_W50_T1.8_D6                     121         0.820        | 434   121         18.9        
BL_W10_T1.0_D30                    118         0.820        | 462   118         21.6        
BL_W20_T2.4_D10                    113         0.820        | 487   113         27.5        
BL_W10_T1.2_D2                     167         0.820        | 480   167         27.4        
BL_W20_T2.4_D2                     113         0.820        | 481   113         27.5        
BL_W20_T2.4_D4                     113         0.820        | 490   113         27.5        
BL_W20_T2.4_D6                     113         0.820        | 489   113         27.5        
