=== Blood Pressure Measurement Report - Run #1 ===

Baseline HR: 72.1 BPM
Valid interval: 460-1500 ms

*** ENSEMBLE RESULT ***
Ensemble Systolic: 94 mmHg
Confidence: 0.071
95% CI: [92 - 97] mmHg
Agreement: 3381/550 detectors

MAP: 86 mmHg
Est. Diastolic: 82 mmHg
Oscillometric MAP Systolic: -1 mmHg
Oscillometric MAP Diastolic: -1 mmHg

--- DETECTOR PERFORMANCE SUMMARY ---

Detector                           Best        Conf         | Rank  Best        Error       
-----------------------------------------------------------------------------------------------
BL_W10_T1.8_D10                    110         1.200        | 417   110         15.6        
BL_W10_T1.4_D25                    104         1.200        | 261   104         10.1        
BL_W10_T1.4_D30                    104         1.200        | 255   104         10.1        
BL_W10_T1.6_D4                     110         1.200        | 431   110         15.6        
BL_W10_T1.6_D6                     110         1.200        | 445   110         15.9        
BL_W10_T1.6_D8                     110         1.200        | 430   110         15.6        
BL_W10_T1.6_D10                    110         1.200        | 429   110         15.6        
BL_W10_T1.6_D15                    109         1.200        | 352   109         15.3        
BL_W10_T1.6_D20                    104         1.200        | 245   104         10.1        
BL_W10_T1.6_D25                    104         1.200        | 244   104         10.1        
BL_W10_T1.6_D30                    104         1.200        | 243   104         10.1        
BL_W10_T1.8_D4                     110         1.200        | 423   110         15.6        
BL_W10_T1.8_D6                     110         1.200        | 446   110         15.9        
BL_W10_T1.8_D8                     110         1.200        | 420   110         15.6        
BL_W10_T1.0_D4                     110         1.200        | 440   110         15.9        
BL_W10_T1.8_D15                    109         1.200        | 343   109         15.3        
BL_W10_T1.8_D20                    104         1.200        | 260   104         10.1        
BL_W10_T1.8_D25                    104         1.200        | 256   104         10.1        
BL_W10_T1.8_D30                    104         1.200        | 235   104         10.1        
BL_W10_T2.0_D15                    109         1.200        | 341   109         15.3        
BL_W10_T2.0_D20                    104         1.200        | 236   104         10.1        
BL_W10_T2.0_D25                    104         1.200        | 237   104         10.1        
BL_W10_T2.0_D30                    104         1.200        | 238   104         10.1        
BL_W10_T2.2_D15                    109         1.200        | 335   109         15.3        
BL_W10_T2.2_D20                    104         1.200        | 239   104         10.1        
BL_W10_T2.2_D25                    104         1.200        | 240   104         10.1        
BL_W10_T2.2_D30                    104         1.200        | 254   104         10.1        
BL_W10_T1.4_D15                    109         1.200        | 334   109         15.3        
BL_W10_T1.0_D15                    109         1.200        | 346   109         15.3        
BL_W10_T1.0_D20                    104         1.200        | 258   104         10.1        
BL_W10_T1.0_D25                    104         1.200        | 257   104         10.1        
BL_W10_T1.0_D30                    104         1.200        | 259   104         10.1        
